wavelength,u,g,r,i,z,Y
399,0.09108,0.12397,0.00033,0.00058,0.00049,0.00016
400,0.05040,0.13403,0.00032,0.00064,0.00045,0.00018
401,0.01881,0.13963,0.00034,0.00071,0.00041,0.00018
402,0.00771,0.14745,0.00035,0.00078,0.00038,0.00018
403,0.00309,0.14977,0.00035,0.00085,0.00034,0.00019
404,0.00137,0.15125,0.00035,0.00092,0.00030,0.00019
405,0.00126,0.15274,0.00035,0.00099,0.00026,0.00020
406,0.00106,0.15597,0.00036,0.00106,0.00022,0.00020
407,0.00037,0.15923,0.00036,0.00113,0.00019,0.00021
408,0.00021,0.16179,0.00036,0.00120,0.00015,0.00021
409,0.00020,0.16405,0.00036,0.00127,0.00011,0.00022
410,0.00018,0.16628,0.00037,0.00134,0.00007,0.00023
411,0.00013,0.16802,0.00037,0.00136,0.00007,0.00024
412,0.00010,0.17082,0.00038,0.00138,0.00008,0.00025
413,0.00010,0.17365,0.00039,0.00141,0.00009,0.00026
414,0.00009,0.17575,0.00040,0.00143,0.00009,0.00027
415,0.00009,0.17819,0.00040,0.00145,0.00010,0.00028
416,0.00008,0.18354,0.00041,0.00147,0.00011,0.00030
417,0.00008,0.18631,0.00042,0.00149,0.00011,0.00031
418,0.00007,0.18824,0.00043,0.00152,0.00012,0.00032
419,0.00007,0.19017,0.00044,0.00154,0.00013,0.00033
420,0.00008,0.19075,0.00045,0.00156,0.00014,0.00034
421,0.00010,0.19168,0.00046,0.00158,0.00014,0.00035
422,0.00006,0.19447,0.00044,0.00154,0.00014,0.00036
423,0.00006,0.19692,0.00043,0.00149,0.00014,0.00036
424,0.00006,0.20192,0.00042,0.00144,0.00015,0.00037
425,0.00006,0.20380,0.00041,0.00139,0.00015,0.00037
426,0.00007,0.20665,0.00040,0.00135,0.00015,0.00038
427,0.00007,0.20913,0.00039,0.00130,0.00015,0.00038
428,0.00006,0.21235,0.00038,0.00125,0.00015,0.00039
429,0.00007,0.21520,0.00037,0.00120,0.00015,0.00039
430,0.00007,0.21956,0.00036,0.00115,0.00015,0.00036
431,0.00006,0.22112,0.00044,0.00110,0.00015,0.00033
432,0.00006,0.22403,0.00044,0.00105,0.00015,0.00030
433,0.00007,0.22447,0.00044,0.00100,0.00014,0.00027
434,0.00007,0.22781,0.00044,0.00095,0.00014,0.00024
435,0.00007,0.23068,0.00043,0.00090,0.00014,0.00021
436,0.00007,0.23272,0.00043,0.00085,0.00014,0.00017
437,0.00007,0.23325,0.00043,0.00080,0.00014,0.00014
438,0.00007,0.23886,0.00043,0.00074,0.00014,0.00011
439,0.00007,0.24306,0.00043,0.00069,0.00014,0.00008
440,0.00008,0.24334,0.00042,0.00064,0.00013,0.00005
441,0.00008,0.24795,0.00039,0.00072,0.00017,0.00005
442,0.00008,0.24901,0.00037,0.00080,0.00020,0.00005
443,0.00008,0.25135,0.00035,0.00088,0.00023,0.00006
444,0.00008,0.25264,0.00033,0.00095,0.00027,0.00006
445,0.00008,0.25457,0.00031,0.00103,0.00030,0.00007
446,0.00009,0.25654,0.00030,0.00111,0.00033,0.00007
447,0.00009,0.25874,0.00028,0.00119,0.00037,0.00007
448,0.00010,0.26059,0.00026,0.00127,0.00040,0.00008
449,0.00010,0.26195,0.00024,0.00135,0.00043,0.00008
450,0.00010,0.26252,0.00022,0.00144,0.00047,0.00009
451,0.00011,0.26576,0.00023,0.00136,0.00046,0.00008
452,0.00011,0.26690,0.00022,0.00129,0.00045,0.00007
453,0.00011,0.26996,0.00022,0.00122,0.00044,0.00007
454,0.00011,0.27182,0.00021,0.00114,0.00042,0.00006
455,0.00011,0.27432,0.00020,0.00107,0.00041,0.00006
456,0.00012,0.27366,0.00020,0.00099,0.00040,0.00005
457,0.00013,0.27639,0.00019,0.00092,0.00039,0.00005
458,0.00013,0.27663,0.00018,0.00084,0.00038,0.00004
459,0.00014,0.27827,0.00018,0.00076,0.00037,0.00004
460,0.00015,0.28077,0.00017,0.00069,0.00038,0.00004
461,0.00016,0.28185,0.00016,0.00061,0.00039,0.00005
462,0.00016,0.28471,0.00016,0.00062,0.00040,0.00005
463,0.00017,0.28687,0.00015,0.00063,0.00041,0.00005
464,0.00017,0.28892,0.00015,0.00063,0.00042,0.00006
465,0.00018,0.28982,0.00015,0.00064,0.00043,0.00006
466,0.00019,0.29100,0.00014,0.00065,0.00044,0.00007
467,0.00019,0.29274,0.00014,0.00066,0.00045,0.00007
468,0.00020,0.29265,0.00013,0.00067,0.00046,0.00008
469,0.00019,0.29258,0.00013,0.00067,0.00047,0.00008
470,0.00019,0.29420,0.00012,0.00068,0.00048,0.00009
471,0.00018,0.29852,0.00013,0.00072,0.00045,0.00009
472,0.00017,0.29741,0.00013,0.00076,0.00042,0.00010
473,0.00015,0.29887,0.00013,0.00080,0.00040,0.00010
474,0.00013,0.30065,0.00013,0.00083,0.00037,0.00010
475,0.00010,0.30228,0.00013,0.00087,0.00034,0.00011
476,0.00008,0.30478,0.00013,0.00091,0.00032,0.00011
